corpus	sentence
itwac	Anche la medaglia dell' anno VII , l' ultima del pontificato benedettino , è opera di Aurelio Mistruzzi , e descrive in modo originale la proclamazione di sant' Efrem dottore della Chiesa : accanto al santo orientale è seduto il grande dottore dell' Occidente san Girolamo , ritratto con la [SEP] penna [SEP] , il libro e il leone accovacciato ; nel centro sopra un' ara la Bibbia irradiata dallo Spirito Santo , attorno la legenda « Doctorum Scripturae Dux celebratus » ( figura 6 ) .
itwac	Com' è inutile un libro od un audiovisivo o perfino una semplice [SEP] penna [SEP] a sfera .
itwac	Al geometra non serve la " pratica " , al geometra serve il ragionamento , la capacità di adattamento , la voglia di mettersi sui libri e sui quaderni con [SEP] penna [SEP] e calcolatrice , serve pazienza nel pensare e fantasia nell' immaginare le cose prima di farle .
itwac	Cambiavano ogni tanto la [SEP] penna [SEP] quando volevano essere precisi .
itwac	Pochi passi più avanti , verso il centro del borgo , il Centro Studi costruito nel nome di Pavese raccoglie i suoi cimeli : le sue pipe , le sue [SEP] penne [SEP] , i suoi libri , i manoscritti .
itwac	Le [SEP] penne [SEP] quelle non c' erano , rimaste con tutto il resto nella mia casa a Mitrovica sud .
itwac	Ma si salvano parecchi soldi anche scegliendo quaderni , [SEP] penne [SEP] e zaini della precedente stagione , in vendita negli outlet .
itwac	Nessuno scampa dalla [SEP] penna [SEP] furibonda di Morley : Eminen è " l' anello mancante tra Bing Crosby e 'fanculo , fottiti stronzo ' " , quello di Simon & Garfunkel è " folk di lusso " , i Coldplay sono così ignoranti da credere che " il mondo sia piatto " .
itwac	Dal canto suo , Anderson  una delle [SEP] penne [SEP] più brillanti della rivista  ha scritto anche per il New York Post , il Washington Times e The Public Interest .
itwac	Così , mi decisi di comprarne una copia , presi una [SEP] penna [SEP] rossa e mi misi a lavoro .
itwac	Ora due splendidi uccelli blu , con un ciuffo di [SEP] penne [SEP] sul capo , stanno beccando a pochi passi da noi .
itwac	La [SEP] penna [SEP] Nokia SU - 1 B dovrà essere utilizzata su un particolare blocco note e potrà memorizzare al suo interno fino a cento pagine in formato A 5 .
itwac	Frequentiamo la scuola e possiamo acquistare tutto il materiale che ci occorre : pennarelli , pastelli , quaderni , libri , [SEP] penne [SEP] , astucci e zaini firmati .
itwac	( 1 Utenti hanno ritenuto utile questa recensione ) Data di invio 02 - 06 - 2004 12:59:04 Recensione di Stefano 58 [SEP] PENNE [SEP] CON SALSICCIA * Questo piatto si può cucinare anche senza pomodoro ovviamente il tempo di cottura del condimento alla fine si accorcia di 10 minuti .
itwac	Partner ufficiale per le Oasi sono stati il Pastificio Del Verde , che contribuirà anche alla realizzazione dell' evento centrale nell' Oasi di [SEP] Penne [SEP] e Trenitalia che invita tutti a raggiungere le aree più incantevoli del nostro paese in treno .
itwac	Sir Seaton Begg , nato dalla [SEP] penna [SEP] di Michael Moorcock , detective metatemporale , potrebbe essere la controfigura di Holmes , non certo un discendente : non che questo tolga qualcosa all' indiscutibile bravura dell' autore e al fascino delle sue realtà alternative .
itwac	Arrossisco , avvampo , rabbrividisco , mentre la mia [SEP] penna [SEP] descrive questa inaudita atrocita' .
itwac	Gli stallieri erano intenti a strigliare le splendide bestie dal manto dorato , curando particolarmente le [SEP] penne [SEP] remiganti delle grandi ali che li avrebbero sostenuti nel volo giornaliero di allenamento .
itwac	E invece , sia pur in un percorso tortuoso , pieno di fosse e di intoppi che tra qualche rigo proveremo a raccontare , alla fine la costellazione è diventata inchiostro sgorgato dalle preziose [SEP] penne [SEP] delle rispettive competenze .
itwac	E' opportuno inoltre rilevare i campioni di scrittura in condizioni standardizzate , tenere cioè sotto controllo ogni fattore che possa interferire con la prestazione dei soggetti ( compreso il foglio e la [SEP] penna [SEP] con cui scrivere ) .
itwac	Come un racconto , la [SEP] penna [SEP] del giovane ricercatore conduce il Lettore dalla mitica Metauros fino ai giorni nostri senza trascurare l' essenzialità che permette di capire e tesauriz-zare momenti ed aspetti di vita vissuta per lasciarlo , nel presente , come libero continuatore di storia .
