corpus	sentence
itwac	Poi arrivò il topo , seguito dal gatto , il toro , la mucca , l' asino , il [SEP] maiale [SEP] e da altri mammiferi .
itwac	Come condimento il grasso di [SEP] maiale [SEP] si preferisce all' olio d' oliva .
itwac	Sovrani della gastronomia perugina sono senza dubbio l' olio DOP e il [SEP] maiale [SEP] , da cui il prosciutto saporito certificato , nonché il paniere dei salumi tipici .
itwac	Sant' Antonio Abate è passato di diritto come protettore degli allevatori e del bestiame in genere , in particolare [SEP] maiali [SEP] e cavalli , ma è anche protettore di molte attività che si collegano agli animali , senza dubbio un santo molto amato , che la gente sente molto vicino .
itwac	Poi i computer partirono verso il cielo come razzi ed esplosero a circa 200 metri d' altezza producendo il suono di 666 [SEP] maiali [SEP] buttati in un frullatore di grandi dimensioni .
itwac	Ignoti cospargono di grasso di [SEP] maiale [SEP] il portone della moschea Il vicesindaco di Treviso Gentilini : " Giovani immigrati rubano ?
itwac	Come se non bastasse , un grave lutto ha segnato definitamente la giornata : il maniscalco di Mady , ahimè , ha visto di recente la prematura e accidentale scomparsa di uno dei suoi più virgulti [SEP] maiali [SEP] .
itwac	Innaffiate con il vino e , quando sarà evaporato , aggiungere il sedano e la carota , il piedino di [SEP] maiale [SEP] , l orecchio e le cotenne .
itwac	I prodotti del latte , il grano , i fagioli e le noci sono tutti concentrati di proteine ; trenta grammi di formaggio , di arachidi o di lenticchie , ad esempio , contengono più proteine di un hamburger o della bistecca di [SEP] maiale [SEP] che trovate al self-service .
itwac	Nell' ultimo caso , la polpetta era stata preparata con grasso di [SEP] maiale [SEP] che , essendo liposolubile , ha favorito il rapido assorbimento del veleno , rendendo in parte inefficaci le cure ambulatoriali .
itwac	IN ENTRAMBI I CASI CHE PEZZO DI MERDA inviato il 16.04.2004 13:32:38 Anonymous CHE GIOIA INDESCRIVIBILE VEDERE QUEL [SEP] MAIALE [SEP] DI BUSH ALLA FRUTTA ...
itwac	" La dieta mediterranea prevede , infatti , un moderato consumo di carne ( ricca di acido arachidonico ) e prodotti animali in genere  sono da preferire comunque carni bianche e carne di [SEP] maiale [SEP] povera di colesterolo  un discreto consumo di pesce , ricco di omega 3 , e non sostituire mai l' olio extravergine d' oliva con quello di semi che contiene l' acido linoleico che nell' organismo si trasforma in arachidonico .
itwac	vedi di portarci in Europa , più precisamente nell' Europa dell' est , così si va tutti a [SEP] maiale [SEP] ...
itwac	Senza dimenticare il salame d' asino e di [SEP] maiale [SEP] , i salami d' la duja , i cuteghitti , la fidighina , i sanguinacci .
itwac	Vogliamo il [SEP] maiale [SEP] !
itwac	se voui carico la macchina così dopo animiamo la serata , dopo la cena !!!!! PORCO , [SEP] MAIALE [SEP] , CHE ...
itwac	Recentemente ha messo a disposizione della squadra un [SEP] maiale [SEP] da un quintale , fatto pervenire al ristorante del club , concedendo inoltre credito illimitato ai compagni presso la panetteria di sua proprietà nella città natale , Novi Sad .
itwac	È che ormai si usano [SEP] maiali [SEP] magroni da 160 kg e non più quei bei maiali da 220 .
itwac	Ogni famiglia possedeva oltre alla propria casa e alla stalla , un [SEP] maiale [SEP] , due galline , un gallo e 10 pecore .
itwac	L' abbattimento dei [SEP] maiali [SEP] malati viene effettuato da personale specializzato ; è stato vietato per ora ai contadini di uccidere loro stessi gli animali , per evitare ogni contaminazione .
itwac	Avrete un corposo assaggio del volume ( il secondo ) che Saldapress presenterà a Lucca Comics ( e che sarà poi ovviamente disponibile in fumetteria ) , e potrete gustarvi le simpaticissime avventure che si svolgono nel " Rifugio per Animali Feriti " dove la bella e dolce Brandy e l' imbranato Frank , si occuperanno di animaletti come Truman ( l' anatroccolo pasticcione ) , Oscar ( il simpatico bassotto ) , Den ( il [SEP] maiale [SEP] sessista ) , Leslie ( la rana toro paranoica ) e Ralph ( l' orso da circo nevrotico ) .
itwac	Risultato quasi scontato , soprattutto pollo e tacchino ( il 54,6 % ) , ma anche [SEP] maiale [SEP] , salumi ( 36,2 ) e coniglio ( 34,8 ) .
itwac	Anche le parti grassi e molli dell' intestino del [SEP] maiale [SEP] , fusi , filtrati e chiarificati , diventavano sugna o strutto .
itwac	bestie , animali , [SEP] maiali [SEP] ...
itwac	devo ordinare il [SEP] maiale [SEP] !
itwac	Tuttavia può abbattere e trascinare sugli alberi anche animali più grandi di lui , come Cervi , Antilopi e [SEP] Maiali [SEP] selvatici del peso di molte decine di chili .
itwac	Modificato Da - Il Maiale on 09 Mag 2004 10:39:57 max 86 volevo ringraziare il nostro caro amatissimo [SEP] maiale [SEP] per il pranzo di oggi ...
