corpus	sentence
itwac	Principio coerente e fondante della sua dichiarazione di guerra fu la scomunica che scagliò contro il suo avversario Federico degli Hohenstaufen , a cui dedicò l' apocalittica enciclica Ascendit de mari in cui l' imperatore svevo è così descritto : " Ecco la bestia che sale dal fondo del mare con la bocca piena di blasfemia , con le unghie dell' [SEP] orso [SEP] e la rabbia del leone , col corpo simile a quello del leopardo .
itwac	Non avevamo a disposizione la soluzione satura sciolta in acqua di cui avevamo letto come antidoto sull' Arena e per non perdere tempo abbiamo fatto ingurgitare a [SEP] Orso [SEP] un pugno di sale grosso da cucina , accompagnandolo con un bicchiere d' acq ua » .
itwac	Pare che nelle stagioni giuste ( quindi ovviamente non quando ci siamo andati noi ) non sia difficile avvistare l' Orso ( un pastore , infatti , ci ha sconsigliato di accamparci liberamente nei monti dietro Agios Germanos , a causa di un [SEP] orso [SEP] che girava da quelle parti ) .
itwac	ma essendo un [SEP] orso [SEP] per natura qualche volta do questa impressione , ma il problema non e' questo , basterebbe che utilizzando una minima parte di buon senso , si potrebbe evitare di sentir dire in tutti i mari del mondo la parola magica che da ormai qualche decennio e appiccicata alla lingua di tutti , " C' E' SEMPRE MENO PESCE " chiaro che si , sta a noi di cambiare il sistema , di essere piu' responsabili e di evitare certe attitudini che ci fanno ricadere sulla testa le responsabilita' della rarefazione del pesce , vi posso assicurare che non sono nato con il senso del ambientalismo nel sangue , anche io in altri tempi ho fatto cose che farebbero raccapricciare piu' di un pescatore sportivo , ma rimasi nella mia ignoranza sino a quando qualcuno comincio a ricriminarmi i miei modi di pescare , ho avuto un attimo di riflessione , ma ormai sono anni che mi batto per qualcosa che sento come mio , il mare , notizia di giorni fa un " famoso " skipper di un centro di pesca africano ha dichiarato in una rivista francese che a partire da questo anno tutti i Blue-Marlin di meno di 100 kg saranno rimessi all' acqua , e solo i primi 2 rostrati della settimana potranno essere imbarcati ( CADA CLIENTE ) bella storia e lui e' uno di quelli che sino a ieri ha pagato i suoi marinai 4 soldi , certo che quei poveretti imbarcavano il pesce e poi lo rivendevano , non gli rimaneva che questo da fare per far mangiare la famiglia ...
itwac	SE POI TI VA INVECE DI VEDERCI A 4 OCCHI TI SPIEGO IO ALCUNE IMPORTANTI COSETTE Utente : [SEP] ORSO [SEP] GRIGIO Data : : lunedì , 5 aprile 2004 13.17.38 Città : Alessandria E-mail : SoloAlessandria@katamail.com Messaggio : Ciao ragazzi , come prima cosa complimenti per il vs campionato .
itwac	Il Cesda , nato nel 1995 e diretto dalla sociologa Mariella [SEP] Orsi [SEP] , rischia di chiudere o essere ridotto per il taglio dei contributi del Fondo nazionale per la prevenzione alla droga .
itwac	" Cose di questo mondo " ( Inghilterra 2002 - 90 minuti - Dolby Digital ) è il nuovo film di Michael Winterbottom , [SEP] Orso [SEP] d' Oro al Festival di Berlino 2003 , in uscita in Italia nel mese di aprile 2003 a cura della Mikado .
itwac	Sui circa 2.000 esseri umani che popolano l' intero arcipelago ci sono 4000 [SEP] orsi [SEP] , per una media di due orsi per abitante .
itwac	Carrara Ursus arctos [SEP] Orso [SEP] bruno alpino Sempre più spesso , nell' ultimo decennio , abbiamo sentito parlare del ritorno dei grandi vertebrati o dei grandi carnivori sulle Alpi italiane ( ma non solo ) .
itwac	Ai tempi de ' L' [SEP] orso [SEP] ' ho studiato con esperti la distanza tra gli animali e gli uomini .
itwac	T utti i nomi delle sette stelle derivano dall' arabo : l' alfa è Dubhe ( il dorso del grande [SEP] orso [SEP] ) , la beta è Mérak ( le reni del grande orso ) , la gamma è Fegda ( la coscia ) , la delta è Megrez ( la radice della coda ) , la epsilon è Alioth ( cavallo nero ) .
itwac	Tra gli animali protetti vi sono l' [SEP] orso [SEP] bruno ( ne restano solo 15 esemplari ) , la lince , il camoscio , la marmotta e uccelli rapaci a rischio di estinzione come l' avvoltoio barbuto .
itwac	" ( idem ) , c' è una " musicolonnologa " , e poi ci sono un delfino teologo , una talpa geologo e un [SEP] orso [SEP] bruno archeologo .
itwac	14/4  BACHELOR  0721/863054  0338/3945368  VIA S. EUSEBIO 48  CENTRO S. [SEP] ORSO [SEP]  FANO  PS VEN .
itwac	Una cosa da nn perdere ad Helsinki , è il mercato nella zona porto , soprattutto quello coperto : una serie di negozietti con posti a sedere , con di tutto e di + x assaggiare le specialità del posto , salmone in tutte le versioni , alce e pure l' [SEP] orso [SEP] ...
itwac	13/4  BACHELOR  0338/3945368  VIA S. EUSEBIO 48  CENTRO S. [SEP] ORSO [SEP]  FANO  PU VEN .
itwac	Anche per gli [SEP] orsi [SEP] del grande Nord vita dura : tra le proposte c' e' anche quella che permetterebbe di abbattere gli orsi nel parco nazionale di Katmai , dove vivono gli orsi neri americani .
itwac	Rispose l' [SEP] Orso [SEP] : " Piacere mio !
itwac	Per farla breve , dopo mezzora circa , riesce ad entrare in contatto visivo coll ' [SEP] ORSO [SEP] e conduce Gabriele e compagni giu' a Lavello prima che i serbatoi i tutti e due glia aerei restino a secco .
itwac	Come di nuovo fosse il Golfo , e di nuovo « [SEP] Orso [SEP] » Schwarzkopf avesse messo su , tra Quetta e Peshawar , un' armata di 700 mila uomini da mandare a vincere una passeggiata a « zero morti » dall' altra parte del Khyber Pass .
itwac	Orsi , ed ancora orsi in catene , in gabbie anguste , orsi come cibo , [SEP] orsi [SEP] come fenomeni da baraccone di cui ridere ed a cui lanciare monetine perché violentati artisti di strada .
itwac	di Claudio Turrini Immaginiamo due uomini minacciati da un [SEP] orso [SEP] feroce che si aggira nella vicina foresta .
itwac	Questa squadra ha visto giocare fra le sue fila giocatori come Combi , [SEP] Orsi [SEP] , Boniperti , Sivori , Bettega , Capello , Zoff , Altafini , Scirea , Cabrini , Tardelli , Platini , Boniek , Paolo Rossi , Roberto Baggio , Vialli e Del Piero .
itwac	L' [SEP] orso [SEP] Scritto e illustrato da R. Briggs , EL 1994 .
itwac	Attraverso questa apparecchiatura elettronica , a partire dal 1989 fino a tutto il 2001 sono state effettuate riprese di almeno 3 diversi esemplari di [SEP] orsi [SEP] autoctoni
itwac	Floriana Bucci Il Messaggero Abruzzo Dal Parco arrivano le " Case dell' orso " Pescasseroli - Dal Parco nazionale della Majella arrivano le " Case dell' [SEP] orso [SEP] " .
itwac	Il soprano Anna Maria [SEP] Orsi [SEP] , il trio composto da Roberto Noferini , violino , Enrico Guerzoni , violoncello e Maurizio Deoriti , pianoforte , Marco Dal Pane , fisarmonica Virginia Guastalla , pianoforte e Paolo Orsini , chitarra eseguiranno musiche di Beethoven , Haydn , Piazzolla e alcune citazioni musicali dalla cinematografia disneyana .
itwac	www.irmagroup.com La Duna degli [SEP] Orsi [SEP] , stabilimento balneare di Marina di Ravenna ( Ra ) , porta questo nome dal 1986 .
itwac	Cattura , detenzione , abbattimento di uccelli super-protetti come aquile , falchi , cicogne , fenicotteri ; cattura , detenzione , abbattimento di [SEP] orsi [SEP] , stambecchi , camosci , mufloni ; caccia nei giardini urbani e nei campi sportivi ; utilizzo di richiami vivi , uccelli accecati o mutiliati ; caccia da autoveicoli : tutto ciò non sarà più un reato penale .
itwac	Premio Alfred Bauer , [SEP] Orso [SEP] d' argento per la migliore interpretazione femminile , International Film Festival , Berlino 2004
itwac	Se era robusto come un [SEP] orso [SEP] , aveva anche dei denti poco dissimili a quelli di quei plantigradi .
itwac	da LA ROSA GIALLA koba ride in un mondo segnato dalla sua demenza il campo gemmato alle pendici del fujiyama e l' [SEP] orso [SEP] non hanno ancora compreso la triste lezione del vietnam e zio ho assiste silente allo scempio in afganistan buon fumo signori da quelle parti l' islam sogghigna davanti alla nera pietra vincente della ka ' ba e lascia davanti ai nostri occhi le fosse di katin e gli affetti di scabbia La cecità è propria di questo smarrimento crudele , e non Tiresia indovino , che diviene custode delle istituzioni e trombettiere della fedeltà al re .
itwac	Ubicato in una posizione strategica , a pochi passi dalla zona archeologica di Siracusa e il Museo Archeologico " Paolo [SEP] Orsi [SEP] " , è considerato l albergo ideale sia per la clientela turistica che per la clientela d affari .
itwac	Apprezzeranno di più le nuove avventure di Mowgli , dell' [SEP] orso [SEP] Baloo e di tutta la compagnia !
