corpus	sentence
itwac	In termini di abito in senso lato , siamo interi quando i segni del nostro mostrarsi ( vestiti compresi ) giocano con " sintassi coerente " ( Roland Barthes ) : possono sbizzarrirsi nei richiami , negli stili , nelle allusioni , nelle figure di invenzione , possono evidenziare un aspetto , un gesto corporeo , oppure porre in risalto la parte più eloquente di sé e possono anche provocare contrasti , come un foulard con una [SEP] sedia [SEP] a rotelle e come una " passeggiata meccanica " sul bagnasciuga del mare ...
itwac	Nelle stazioni metropolitane devono essere agevolati l' accesso e lo stazionamento su [SEP] sedia [SEP] a ruote , anche con l' installazione di idonei ascensori e rampe a seconda dei dislivelli , al fine di consentire alle persone non deambulanti di accedere con la propria sedia a ruote al piano di transito della vettura della metropolitana .
itwac	Un po' divertito ( e nascondendo l' ironia - faccio il loro mestiere , vengo da quei loro giornali - pur mescolata alla simpatia umana ) , le snocciolavo a bella posta fatti e dati e la vedevo sgranare gli occhi , agitarsi sulla [SEP] sedia [SEP] .
itwac	Arredamento delle camere : 1 ) letto , armadio , specchio ( 1,2,3,4 ) 2 ) comodino e tavolino ( sostituibili da ripiani con analoga funzione ) ( 1,2,3,4 ) 3 ) lampade o appliques da comodino ( 1,2,3,4 ) 4 ) cestino rifiuti ( 1,2,3,4 ) 5 ) sgabello o ripiano apposito per bagagli ( 2,3,4 ) [SEP] Sedie [SEP] e poltrone nelle camere o unità abitative : 1 ) una sedia per letto ( 1,2,3,4 ) 2 ) una poltroncina per letto ( 3,4 ) Televisione : 1 ) in tutte le camere ( 4 ) 2 ) con antenna satellitare ( 4 ) 3 ) ad uso comune ( 2,3,4 ) Telefono : 1 ) apparecchio telefonico per uso comune ( 1,2,3,4 ) 2 ) apparecchio telefonico in camera ( 4 ) Assenza barriere architettoniche ( 4 ) Sala per colazione ( 3,4 ) Sala soggiorno lettura ( 4 ) Camere con vista panoramica ( 3,4 ) Seggiolone per bambini ( 2,3,4 ) Lettino / culla per bambini ( 2,3,4 ) Servizio sveglia ( 1,2,3,4 ) Possibilità di utilizzo lavatrice ( 3,4 ) Possibilità di utilizzo ferro da stiro ( 3,4 ) Possibilità di utilizzo computer ( 4 ) Giardino ( 3,4 ) Per le tipologie di immobile che lo prevedono .
itwac	Nella prima edizione , nel '98 , Jack l' albatro doveva morire sulla [SEP] sedia [SEP] elettrica ad Alcatraz , ma all' ultima puntata riuscì a fuggire e continuò a trasmettere i suoi programmi da latitante , prima a Cuba , poi di nuovo in Italia .
itwac	Due Effe Sedie - Ditta friulana operante nel settore legno specializzata nella produzione di [SEP] sedie [SEP] in legno e in legno e metallo .
itwac	La struttura si presenta come un bellissimo edificio arredato in maniera raffinata con mobili antichi che offre una sala colazione , un bar ed un giardino con [SEP] sedie [SEP] e tavolini .
itwac	Una rappresentazione quasi da incantesimo vista per noi da Piero Gelli Tevjie un mir ( Tevjie e noi ) ( 3 maggio 2001 ) Una storia popolare in un villaggio : Moni Ovadia torna al teatro yiddish con l' intenzione di coglierne lo spirito popolare A tutto tondo - nuova certificazione del mondo di Suzie Wong ( 27 febbraio 2001 ) Una partitura verbale insensata e surreale , in un impasto linguistico ossessivo , debordante , amenamente indecifrabile Le [SEP] sedie [SEP] ( 25 gennaio 2001 ) Nel suo approccio dal taglio eminentemente visivo , Pericoli non va oltre un paio di ininfluenti invenzioni , quelle sedie che escono dal pavimento come strane efflorescenze , come entità bizzarramente invasive La sonnambula ( 16 gennaio 2001 ) Dal pubblico coloriti dissensi che , l' opera di Bellini non ha del tutto meritato .
itwac	Ci vorrebbero tecnici disposti a perdere fette di potere , associazioni disposte ad investire in cultura e informazione , volontari disposti a guardarsi prima di tutto allo specchio , assessori e giornalisti che tirano su le " chiappe " dalle [SEP] sedie [SEP] per andare a conoscere direttamente le cose di cui si occupano , persone disabili forse più " cattive " ( leggasi a tal proposito di Elisabeth Auerbacher il volume " Babette , handicappata cattiva " , EDB ) e che non cedono alla tentazione , che è poi una bugia che si dice a sè stessi , di parlare a nome dell' intera categoria .
itwac	Finissima pasticceria mignon , finissima pasticceria salata , monoporzioni , dolci al bicchiere , torte da credenza , biscotteria , fondant , gelatine di frutta , torte semifreddi e mousse , torte gelato , pralineria , creazioni di marzapane , lingua : it http://www.caffecavour.com Campus & co di Campopiano Gaetano La ditta CAMPUS si occupa dell' allestimento di feste e cerimonie in genere e dispone di tavoli e [SEP] sedie [SEP] in vari modelli , attrezzature , mobili , posateria di raffinata fattura , nonchè di ombrelloni eleganti e funzionali .
itwac	Ed era un bisogno incontenibile riempire ogni ora di ogni giorno , sfuggire al silenzio anche di un solo momento , disertare la casa , accumulare indumenti su [SEP] sedie [SEP] e poltrone rinviando all' infinito la decisione di mettere ordine .
itwac	Felice Farina ( Sembra morto ma è solo svenuto , Affetti speciali , Sposi , Condominio , Ultimo respiro , Bidoni ) siede con una certa ostentazione di sicurezza su una [SEP] sedia [SEP] " da regista " un po' particolare , più che altro una imitazione dell' originale , in un luogo che potrebbe essere un teatro di posa o un capannone per le prove .
itwac	Mio nonno fa una [SEP] sedia [SEP] .
