corpus	sentence
itwac	» Il re si alzò vivamente , in preda ad una visibile commozione , mentre i dissova gli si stringevano attorno snudando le loro [SEP] spade [SEP] , come per proteggerlo da qualche pericolo .
itwac	Come mai proprio in questa fase di ridefinizione scolastica , sull' educazione musicale , artistica e motoria , incombe questa [SEP] Spada [SEP] di Damocle , ovvero la collocazione facoltativa ?
itwac	10 Simon Pietro allora , che aveva una [SEP] spada [SEP] , la sguainò , colpì il servo del pontefice e gli mozzò l' orecchio destro .
itwac	[ 12 ] Essi alzarono gemiti e pianti e digiunarono fino a sera per Saul e Giònata suo figlio , per il popolo del Signore e per la casa d' Israele , perché erano caduti colpiti di [SEP] spada [SEP] .
itwac	un mago di 4 ° che possiede una [SEP] spada [SEP] + 3 , vampiro ( 3 cariche / giorno ) , curatrice ( 1 gurarigione totale / giorno ) che da la possibilità di levitare .
itwac	l' orco solleva la [SEP] spada [SEP] al cielo fa per colpirti ...
itwac	Finito il concerto , intorno all' una di notte , abbiamo assistito agli ultimi attacchi del prode Daiaran ( ancora impegnato nel suo allenamento con la [SEP] spada [SEP] ) e dopo via , tutti a casa , per il meritato riposo degli eroi !
itwac	Il problema Per le persone disabili , l' uso esteso della tecnologia dell' informazione è una [SEP] spada [SEP] dal doppio taglio .
itwac	" Ora Douglas era proprio diventato un cavaliere e l' amico della regina , ( così come è prescritto dal cerimoniale ) , lo toccò sulle sue spalle robuste con una bella [SEP] spada [SEP] lucente .
itwac	Nuova avventura per il bel Johnny Depp che torna con un' incursione in grande stile nel fantasy ( era già successo agli esordi con il romantico " Edward mani di forbice " e più di recente con " Il mistero di Sleepy Hollow " ) con una pellicola cappa e [SEP] spada [SEP] dal gusto avventuroso .
itwac	SIRA CUCINE ANCONA : Corvetta , Piombini , Gatin , Stelmach , [SEP] Spada [SEP] , Heikkinen , Mascagna ( L ) , Paparoni , Broccanelli , Carbonetti .
itwac	Con la [SEP] spada [SEP] diabolica e utilizzando l' agilità in volo del suo robot , Tetsuya riesce a distruggere Gabara ma l' onda d' urto dell' esplosione lo scaglia contro un costone di roccia facendogli perdere conoscenza .
itwac	Stava lentamente emergendo da questo stato di trance , quando udì delle grida cui presto si sovrapposero canti e risate  Ubriachi  pensò allungando la mano verso la [SEP] spada [SEP] appoggiata al suo fianco , pronta a cacciare chiunque intendesse venire a disturbare la quiete della villa Onshitu .
itwac	Così deciso in Roma , Palazzo [SEP] Spada [SEP] , sede del Consiglio di Stato , nella camera di consiglio del 3 dicembre 2002 , con l' intervento dei sigg .
itwac	Ma sta , tra l' altare e il cielo , la [SEP] spada [SEP] ; sta il cuore del vecchio patriarca lacerato e offerto : calice di sangue .
itwac	Come ti piace , o scendi , o sta a cavallo : pur che le man tu non ti tegna al fianco , io son contento ogni vantaggio darti : tanto alla [SEP] spada [SEP] bramo di provarti .
itwac	Decisi però che quella [SEP] spada [SEP] trovata nel mezzo della stanza e che mi aveva salvato la vita ( ma che aveva terminato un' altra vita , questo non riuscivo a dimenticarlo ) poteva essermi utile ancora .
itwac	Cerca di sorprendere i propri avversari con dei colpi veloci che feriscano di taglio , in modo da mantenere sempre una certa distanza dai nemici per riuscire a ritrarre la [SEP] spada [SEP] a sè per portarla in difesa del fianco scoperto quando ve ne sia la necessità .
itwac	Nel 1822 , quando la California spagnola sta per diventare provincia messicana , il nobile Diego de la Vega ( A. Hopkins ) , invincibile raddrizzatore di ingiustizie e corruzioni con la maschera e la [SEP] spada [SEP] di Zorro ( " volpe " in spagnolo ) , è arrestato e messo in galera dal governatore spagnolo ( S. Wilson ) che gli uccide la moglie e gli rapisce la figliolina , portandosela con sé in Spagna .
itwac	Forse uccidi uno che hai fatto prigioniero con la [SEP] spada [SEP] e con l' arco ?
itwac	Saranno esposte oltre 170 opere grafiche / pittoriche , tutte le sculture , le [SEP] spade [SEP] ed i gioielli dei popoli della Terra di Mezzo , le scenografie ( tra le quali dalla Nuova Zelanda lo splendido Barbalbero - studio realizzato per il film di Peter Jackson ) e diverse rarità del mondo dell' illustrazione di Tolkien .
itwac	Non lo dice esplicitamente , ma la prospettiva di condurre il resto della campagna elettorale sotto la [SEP] spada [SEP] di Damocle dell' ineleggibilità lo turba .
itwac	" Ora che il numero di reati gravi in Russia sta aumentando , la totale revoca della pena di morte , che è la [SEP] spada [SEP] di Damocle che può fermare un potenziale omicida , potrebbe provocare dissenso nella società " , ha detto Kalamanov .
itwac	Uomini che passavano dalla [SEP] spada [SEP] alla cetra con la stessa disinvoltura con cui violentavano le donne inglesi per poi ritornare tra le braccia delle loro amate .
itwac	) attratte o repulse dai tre elementi centrali del mito ( l' anello , la bacchetta magica e la [SEP] spada [SEP] ) che nella spazio del Tesoro costituiscono degli elementi di navigazione .
itwac	Se invece la sentinella vede giunger la spada e non suona la tromba e il popolo non è avvertito e la [SEP] spada [SEP] giunge e sorprende qualcuno , questi sarà sorpreso per la sua iniquità : ma della sua morte domanderò conto alla sentinella .
itwac	Divenne ben presto una delle più potenti [SEP] spade [SEP] dell' Islam ed ebbe la nomina di sangiacco-bey .
itwac	In generale questo Conan targato TDK è un' avventura fantasy di discreto livello che finisce però per divenire una gigantesca arena di combattimento in cui la maggior attrazione è specializzarsi in nuove mosse e provare l' ebrezza di essere per una volta protagonisti di avventure altrimenti solo lette , magari trovandosi circondati da uomini in armatura armati solo della propria [SEP] spada [SEP] .
itwac	Consideravano la nostra musica fuori dal tempo perché troppo allegra e perché , nei testi , non si parlava di draghi e [SEP] spade [SEP] magiche !
itwac	Per riflesso condizionato cerco' la [SEP] spada [SEP] che avrebbe dovuto trovarsi nel fodero accanto alla sella , non trovandola naturalmente ; la sua missione di ambasciatore non gli consentiva di girare armato , impreco' sottovoce e fece per rimontare , quando si accorse che dietro di lui , seminascosto da una delle capanne coperte di frasche , si trovava un giovane nomade che lo osservava .
