corpus	sentence
itwac	A Bush va benissimo una teocrazia , è culo e [SEP] camicia [SEP] con quella saudita , per esempio .
itwac	Questo indumento possiamo dire che fosse una via di mezzo tra la sahariana e la [SEP] camicia [SEP] ; infatti era di tela ad un petto , aperto sino allo stomaco con tre bottoni di frutto e con collo e polsi foggiati come quelli della camicia ; aveva inoltre quattro tasche a toppa cannellate con pattine dritte e le solite controspalline mobili .
itwac	I due entrano nel locale e si dirigono verso un tavolino d' angolo , dove siede un vecchio ricurvo , tarchiato , con una [SEP] camicia [SEP] scura .
itwac	Oggigiorno ci si offende per una [SEP] camicia [SEP] verde e non ci si accorge che nel nostro Pese parli solamente chi indossa le " mutande rosse " !
itwac	Mentre si lascia fotografare un milione di volte in posa col braccio stilla spalla di uomini anziani con la [SEP] camicia [SEP] a scacchi e il gilè di lana fatto ai ferri ...
itwac	La prima collezione del dopo Tom Ford , disegnata dallo stilista scozzese John Ray , alterna a corti caftani ricamati con specchietti e decori metallici , tipici della tradizione indiana , da indossare su jeans stoned washed , ad ampie [SEP] camicie [SEP] in garza di cotone stropicciata color tabacco con collo alla coreana che si insinuano nei pantaloni dello smoking .
itwac	La stessa garanzia della l.c. prevista per l' approvazione degli statuti ( che in definitiva sono delle carte concesse dalla Repubblica ) , può essere riguardata oggi come una pericolosa [SEP] camicia [SEP] di Nesso imposta alle Regioni a statuto speciale , poiché con essa viene negato il potere statuente riconosciuto invece a tutte le altre Regioni .
itwac	II direttore generale Cattaneo , i ministri Gasparri , Bossi e Castelli , l' intero stato maggiore della Lega hanno annunciato l' avvio del digitale in [SEP] camicia [SEP] « nero-verde » , una variante regionale di quello che doveva , e per fortuna potrà ancora essere , una grande opportunità .
itwac	Il tipo si guardò attorno poi con mossa agile ed imprevedibile estrasse dal taschino della [SEP] camicia [SEP] un assortimento galattico di anelli , anellini , anelloni , anelli di fumo , anelli di calamari , anellidi e basta .
itwac	voglio dire , oltre la giacca obbligatoria , sempre la stessa [SEP] camicia [SEP] , pantaloni , gli stessi calzini , gli stessi slip dell' ultimo concorso vinto ...
itwac	Velocemente , afferro la giacca elegante , la [SEP] camicia [SEP] importante , i pantaloni griffati , i sensuali boxer , i calzini lunghi e scuri , le scarpe nuove in vera pelle di camoscio , e mi rivesto .
itwac	Le [SEP] camicie [SEP] invece , sono in camoscio traforato , effetto canestro , e le gonne da sera rivelano un piccolo strascico .
itwac	Divenne quasi subito noto per le calze , i copribusto , le cuffiette da notte , le cravatte , le [SEP] camicie [SEP] in shirting o in tela batista ricamata a mano .
itwac	[SEP] Camicie [SEP] a fiori , collanine e vestitini ventosi , ragazze incantevoli e marijuana , peace and love , India e California , Jefferson Airplaine e Donovan , la meditazione e le comuni : un caleidoscopio senza dolore , gli anni Sessanta che ancora non erano entrati in violenta rotta di collisione con il potere .
itwac	André le strappa la [SEP] camicia [SEP] e dice " Per anni ho vissuto con te , amando te , una rosa sarà sempre una rosa , sia essa gialla o rossa , una rosa non potrà mai essere un lilla " .
itwac	s tanto per fare il pignolo il ragazzo con la [SEP] camicia [SEP] blu era tuo amico o di Guevara ?
itwac	Il copricapo rosso bordato di bianco , la lunga tunica color nocciola su una [SEP] camicia [SEP] candida , Anwar Mahdi riceve nel suo studio al secondo piano del Centro islamico .
itwac	Devi cambiare la [SEP] camicia [SEP] .
itwac	Le [SEP] camicie [SEP] candide dei poliziotti a fine pomeriggio s' incrociano con le magliette gialle dei volontari della Chiesa di Scientology , qui nell' attesa dei parenti , di chi cerca un disperso e un poco di speranza .
itwac	E buona [SEP] camicia [SEP] di forza a tutti !
itwac	La canna del fucile da caccia , a contatto con la [SEP] camicia [SEP] , preme sull' addome , poi lo sparo .
itwac	Almeno adesso che sei piccolo , e quando sarai grande , potrai venire a pestarlo assieme a me e ai miei amici delle [SEP] camicie [SEP] verdi " .
