corpus	sentence
itwac	2002,08:34 ) Ricordo anch' io più o meno " [SEP] gufo [SEP] " Pizzul ...
itwac	Durante gli ultimi decenni del secolo XIX il naturalista Camusso ha catturato qui specie rarissime per la provincia di Alessandria e per l' intero Piemonte , come Chiurlottello ( !! ) , Gabbiano corallino , Passera lagia , Organetto , Ciuffolotto scarlatto , Ortolano grigio , Calandro maggiore , Bigia padovana , Storno roseo , Magnanina sarda , [SEP] Gufo [SEP] reale , Nibbio reale , Coturnice , Nocciolaia .
itwac	Se qualche alunno di Hogwarts fosse sprovvisto del suo animale da compagnia e se non volesse un [SEP] gufo [SEP] come Edvige , un topolino come Crosta o una fenice come la mia ...
itwac	La sua forma rappresenta Madre Natura , e le tre zampe su cui poggia corrispondono a : i tre aspetti della Triplice Dea ; le tre fasi lunari ; e i tre numeri magici IL GUFO Durante il Medioevo , molte persone credevano che i [SEP] gufi [SEP] avessere a che fare con la stregoneria .
itwac	[SEP] Gufi [SEP] dottissimi Che predicate E al vostro simile Nulla insegnate ; E voi , girovaghi , Ghiotti , scapati , Padroni idrofobi , Servi arrembati , Prego a cantare L' intercalare : -------------- Viva la Chiocciola -------------- Bestia esemplare .
itwac	Nel 1968 , prima dell' ultima tournee con I [SEP] Gufi [SEP] , Nanni Svampa , accompagnato da Lino Patruno , realizza un recital al Piccolo Teatro , dal titolo " Nanni Svampa canta Brassens e altre ballate milanesi " , che fu accolto con grande favore dalla critica e dal pubblico .
itwac	A Privet Drive n. 4 , intanto , Harry attende che Silente , preannunciatosi via [SEP] gufo [SEP] , venga a prenderlo per portarlo alla Tana , dove trascorrerà il resto dell' estate .
itwac	O AI [SEP] GUFI [SEP] !
itwac	nuota a destra delle statua del [SEP] Gufo [SEP] e cerca di trovare il tunnel che conduce alla Laguna di Gerudo .
itwac	Ecco allora che lunedì prossimo , a partire dalle 21 , si terrà alla Stube del [SEP] Gufo [SEP] , a Trento , una prima serata di degustazione .
itwac	Chi , come loro , tiene un alligatore in una vasca galvanizzata , chi ha un [SEP] gufo [SEP] domestico come animale da compagnia può anche pensare che una bambina che non riuscirà mai a camminare né a ragionare possa essere solo uno dei tanti aspetti che può assumere la vita " .
itwac	Ma non meno tenero sono nei confronti dei loro fratelli maggiori , che scarpinano tristi vestiti da [SEP] gufo [SEP] o da Casanova , per non dire dei più diseredati , scalcagnatamente in tuba di cartone e palandrana di sacco .
itwac	Il [SEP] gufo [SEP] poi è un uccello che ama le tenebre ; e la parola macerie indica tutto ciò che comunemente chiamiamo rovine , dove ci sono pezzi di muro che restano in piedi , ma privi di tetto e disabitati : è proprio lì che abita il gufo .
itwac	Nel 1969 al duo si aggiungerà Franca Mazzola , inizialmente per il recital " La mia morosa cara " , ma che negli anni successivi , dopo lo scioglimento dei [SEP] Gufi [SEP] , apparirà molto spesso a fianco di Svampa e Patruno in recitals e spettacoli vari .
itwac	( Specie particolarmente protette ) Sono particolarmente protette le seguenti specie : aquile , rapaci diurni e notturni , vulturidi , [SEP] gufi [SEP] reali , cicogne , gru , fenicotteri , cigni , lupi , orsi e stambecchi .
itwac	( e la stessa cosa avvenne quando un venditore " non accettò " un mio pagamento ed i soldi mi " tornarono " dopo una decina di giorni , a dispetto di una merea di [SEP] gufi [SEP] di cui avevo letto gli interventi negativi su tale possibilità sul forum di Ebay ...
itwac	[ CACAO MIELE ] Impazzano i gufi in Inghilterra : Harry Potter ha fatto nascere la mania del barbagianni come animale da compagnia : e ne fa tanta , se si pensa che un [SEP] gufo [SEP] vive all' incirca trent' anni .
itwac	* TRANS TOTALE * il tipo stava là con gli occhioni come un [SEP] gufo [SEP] , la Giu mi guardava e mi chiamava [ mica la sentivo , me l' ha detto dopo !
itwac	Commento di alex IO NN [SEP] GUFO [SEP] MA NN VOGLIO NEANCHE ILLUDERMI ...
itwac	Il [SEP] gufo [SEP] , brontolone e anche un poco bisbetico , detestava i viaggi .
itwac	Gufi , I [SEP] Gufi [SEP] , I , gruppo formato da Roberto Brivio ( Milano 1938 ) , Gianni Magni ( Milano 1942 - ivi 1992 ) , Lino Patruno ( Crotone 1935 ) , Nanni Svampa ( Milano 1938 ) .
itwac	Per questo motivo la distribuzione del [SEP] Gufo [SEP] comune risulta spesso sottostimata .
itwac	I [SEP] gufi [SEP] - ha aggiunto il segretario di Prc - sono stati smentiti : il movimento non e' stato sotterrato ne' dal terrorismo ne' dalla guerra .
itwac	Fra i rapaci notturni , frequente l' avvistamento di Civetta e [SEP] Gufo [SEP] comune , ma si possono incontrare anche BARBAGIANNI ( Tyto alba ) e GUFO DI PALUDE ( Asio flammeus ) .
itwac	Molto bella è anche la coppia M 97 - M 108 : la prima è la facile planetaria [SEP] Gufo [SEP] e la seconda una brillante galassia .
