corpus	sentence
itwac	Ieri sera cena aziendale finita tardi ( 00:40 ) preso da raptus ( si sa che sono malato di figa anch' iooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo ) decido di partire da Milano in direzione Svizzera , stop al Bancomat ( raschio ormai il fondo del contocorrente ) , messaggio il compagno di merende Mondodisu ( grazie per l' info , non ti preoccupare del ritardo ) per sapere l' orario di chiusura del Glamour ( il + comodo a quell' ora ) ed all' altezza di Saronno vado in fissa ( stimolato dalle frammentarie recensione di questi giorni ) per la brazil Teresa quella con tatuato SriGanesh ( l' [SEP] elefante [SEP] ) sulla schiena ( vedi Awanagana che seguo i tuoi consigli !
itwac	[SEP] Elefante [SEP] - Est .
itwac	Se ti viene voglia di un tatuaggio a forma di [SEP] elefante [SEP] sulla guancia , ti fanno storie ?
itwac	Una spada d' oro e una statuina di un [SEP] elefante [SEP] accovacciato sono quelli che ci colpiscono di più .
itwac	Ricordiamoci della parabola dell' [SEP] elefante [SEP] , contrassegnata proprio da quella concezione in cui buddismo e neoplatonismo si incontrano .
itwac	Nelle vicinanze si trova il Sioma Ngwezi National Park , dove , durante la notte , si possono vedere gli [SEP] elefanti [SEP] abbeverarsi .
itwac	" Vieni qui ti ho detto , ubbidisci , sono Leo , il Re della foresta e per lo meno mi devi un po' d rispetto e di ubbidienza , piccolo presuntuoso [SEP] elefante [SEP] !
itwac	Dove il povero John Merrick , che aveva avuto la testa schiacciata mentre ancora era nel grembo della mamma finita sotto un [SEP] elefante [SEP] , veniva trascinato per l' Inghilterra vittoriana come un fenomeno da circo : « Elephant Man » .
itwac	Che cosa devono provare , allora , i cacciatori di [SEP] elefanti [SEP] e i pescatori di balene ?
itwac	Ma l' [SEP] elefante [SEP] , il coccodrillo , il leone e anche la giraffa , erano molto diversi da quelli di oggi ...
itwac	Anche perchè , per riuscire a smuovere l' [SEP] elefante [SEP] di ghiaccio suppongo si siano dette cose moolto somiglianti alla verità .
itwac	Così deciso in Roma nella camera di consiglio del 22 ottobre 2002 , con l' intervento dei signori : AGOSTINO [SEP] ELEFANTE [SEP] - Presidente CORRADO ALLEGRETTA - Consigliere PAOLO BUONVINO - Consigliere FRANCESCO D' OTTAVI - Consigliere CARLO DEODATO - Consigliere Estensore L' ESTENSORE IL PRESIDENTE IL SEGRETARIO f .
itwac	Bisogna infatti dire che Clem , pur avendo fornito gli [SEP] elefanti [SEP] ( rigorosamente rosa anch' essi ) , non ha provveduto a portare clown e ballerine che animassero adeguatamente la festa .
itwac	Ti ho mai detto che sei il classico [SEP] elefante [SEP] in un negozio di cristalli ?
itwac	" ( Paolo D' Agostini , ' la Repubblica ' , 22 ottobre 2004 ) Note - VOCI DELLA VERSIONE ITALIANA : ALEX POLIDORI ( TOM ) , ANNA MARCHESINI ( TARTARUGA ) , SERGIO FIORENTINI ( FERDINAND ) , SIMONA IZZO ( ELEFANTESSA DENISE ) , RICKY TOGNAZZI ( [SEP] ELEFANTE [SEP] ROGER ) .
itwac	A intervalli regolari , una domatrice vestita Manganaro fa schioccare una frusta proprio in prossimità del timpano , e gli [SEP] elefanti [SEP] cambiano posizione scaricando tutto il peso sulla mia cervicale : ed ecco tante simpatiche figurazioni quali la butterfly , il cono rotante , il cerchio magico , le sette sorelle .
itwac	Un balbuziente che abita in via Pomponazzi trova un [SEP] elefante [SEP] morto sulla soglia di casa che gli impedisce di entrare .
itwac	Che abbia sentito o no Gesù Cristo , visto la Madonna o gli [SEP] elefanti [SEP] rosa , non mi cambia la vita : sono contento per lui , l' importante è che non sia tutta un' enorme finzione !
itwac	Scoperto il trucco la mamma lo porta al circo ( per un [SEP] elefante [SEP] non c' è posto che al circo ) dove finalmente potrà vivere felice .
itwac	La formica contro l' [SEP] elefante [SEP] , Lilliput contro Gulliver .
itwac	Tutti gli esseri viventi , dai microorganismi , dal filo d' erba , dalla formica all' [SEP] elefante [SEP] all' uomo sono in continua elaborazione dell' energia proveniente dal sole .
itwac	Larga e grande , come i fianchi di una donna , era la Sua vita ; le cosce , simili alle proboscidi degli [SEP] elefanti [SEP] , e le altre parti delle gambe , le caviglie e le articolazioni , erano tutte belle ; ai piedi , le unghie brillavano di uno splendore abbagliante e le dita parevano petali di loto .
itwac	È molto plausibile che si sia appoggiato totalmente agli USA e a Bush , ci ho pensato ( con brividi lungo la schiena ) anch' io e in questo caso saremmo nei guai , la stessa uscita su Schutz potrebbe benissimo essere letta in questo senso , non una gaffe involontaria , ma un comportamento premeditato da [SEP] elefante [SEP] in una cristalleria per fare sfracelli in Europa e la sua stessa affermazione che gli hanno sentito dire , " abbiamo appena cominciato a divertirci " , parrebbe confermarlo .
itwac	I giganteschi padiglioni ( nell' [SEP] elefante [SEP] africano possono arrivare a 2 mq ) sono forniti di una fitta rete di vene , nelle quali il sangue si raffredda anche di 5 ° C quando l' animale li sventola .
itwac	Vorrei la pettinatura a fica d' [SEP] elefante [SEP] !
itwac	La serata fa parte di " Narrare la città " , una delle tante iniziativa esterne al Parco Nord organizzate dalla Festa nazionale dell' Unità in collaborazione con l' Istituto Gramsci , la Casa dei pensieri , l' associazione Italo Calvino , la fondazione culturale Edison di Parma , l' Istituto storico della Resistenza di Parma , l' Archivio di Stato di Parma , l' Archivio storico della Federazione anarchica italiana di Imola e la Bottega dell' [SEP] elefante [SEP] .
itwac	Nel caso in esame risulta accertato ed ammesso , in punto di fatto , che trattavasi di detenzione di una " zanna di [SEP] elefante [SEP] " , ossia di una parte o prodotto , ottenuto da un animale protetto morto , facilmente identificabile ed identificato , soggetto alle preventive autorizzazioni , del tutto carenti .
itwac	Vado A Letto Alle Dieci L' Appartamento L' Armata Degli Eroi L' Armata Delle Tenebre L' Idolo Delle Donne L' Incendio Di Roma L' Inchiesta Dell' ispettore Morgan L' Indomabile Angelica L' Infallibile Ispettore Clouseau L' Inferno E' Per Gli Eroi L' Innocente L' Isola Del Piacere L' Ombra Del Nemico L' Organizzazione Ringrazia Firmato Il Santo L' Organizzazione Sfida L' ispettore Tibbs L' Ottavo Giorno L' Ultima Caccia L' Ultima Conquista L' Ultima Sfida Di Bruce Lee L' Ultimo Colpo In Canna L' Ultimo Combattimento Di Chen L' Ultimo Dei Vichinghi L' Ultimo Safari L' Uomo Del West L' Uomo Senza Volto L' Uomo Venuto Dal Kremlino La Ballata Della Citta' Senza Nome La Bandiera : Marcia O Muori La Battaglia Di Alamo La Battaglia Di El Alamein La Calda Notte Dell' ispettore Tibbs La Carovana Dell' alleluia La Casa Da Te' Alla Luna D' agosto La Casa Russia La Citta' Senza Legge La Corsa Piu' Pazza D' america La Danza Degli [SEP] Elefanti [SEP] La Donna Di Paglia La Febbre Dell' oro La Finestra Sul Cortile La Fratellanza La Freccia Insanguinata La Grande Avventura Del Generale Palmer La Guerra Di Troia La Leggenda Dell' arciere Di Fuoco La Leggenda Di Robin Hood La Meravigliosa Angelica La Mia Geisha La Mia Legge La Montagna La Montagna Dei Sette Falchi La Nave Tutta Matta Di Mr .
