corpus	sentence
itwac	Assai mi par che voi abbiate fatto in aprirci il primo ingresso a così alta specolazione : della quale quando altro non ci aveste arrecato che quella prima general proposizione , che a me par che non patisca replica alcuna , dove molto concludentemente si dichiara , che stando fermi i [SEP] vasi [SEP] contenenti le acque marine , impossibil sarebbe , secondo il comun corso di natura , che in esse seguissero quei movimenti che seguir veggiamo , e che , all' incontro , posti i movimenti per altri rispetti attribuiti dal Copernico al globo terrestre , debbano necessariamente seguire simili alterazioni ne i mari , quando , dico , altro non ci fusse , questo solo mi par che superi di tanto intervallo le vanità introdotte da tanti altri , che il ripensar solamente a quelle mi muove nausea ; e molto mi maraviglio che tra uomini di sublime ingegno , che pur ve ne sono stati non pochi , non sia ad alcuno cascato in mente la incompatibilità che è tra il reciproco moto dell' acqua contenuta e la immobilità del vaso contenente , la quale repugnanza ora mi par tanto manifesta .
itwac	La mostra si chiude con una sezione dedicata alla rappresentazione di scene teatrali sui [SEP] vasi [SEP] magnogreci : infatti la rappresentazione dei costumi di origine teatrale , di maschere e di vere e proprie scene di teatro era molto amata dai ceramisti .
itwac	Infatti la dilatazione dell' arteria induce nelle fibre elastiche del [SEP] vaso [SEP] una risposta contraria , un po' come gonfiare una camera d' aria : il tubo di gomma tende a espellere l' aria .
itwac	Alcune tombe tra il 770 - 745 a. C. e il 740 - 720 a. C. ( fasi IIB e IIC ) , nelle quali appaiono [SEP] vasi [SEP] importati da Pithecusa e da Corinto , si distinguono dalle altre per la loro ricchezza .
itwac	Questo gesuitabelga , missionario per molti anni a San Pedro , viaggiatore ed esploratoredell ' Atacama , ha scoperto resti di abitazioni e tombe con mummie , utensilidell ' età della pietra ; ha collezionato pezzi archeologici , li haordinati a livello scientifico , raccolti in un museo , a San Pedro dovefanno bella mostra anche [SEP] vasi [SEP] d' oro raffiguranti volti umani .
itwac	Oltre la lavorazione della pietra , era abbastanza evoluta quella dell' argilla , con la fabbricazione di [SEP] vasi [SEP] ceramici , spesso lisci ma anche decorati nelle parti esterne mediante l' impressione del bordo delle valve di " cardium " , un mollusco bivalve che gli abitanti del riapro raccoglievano negli stagni della laguna di Sant' Antioco .
itwac	' ' Si inietta in vena - spiega il professore - una sostanza , il verde indocianina , che si va a fissare solo dove incontra questi [SEP] vasi [SEP] anomali , che si impregnano della sostanza .
itwac	Dunque , abbiamo Anna , giornalista-fotografa di cinquant' anni , pacata come si conviene alle donne della sua età ma sufficientemente dinamica da catapultarsi senza colpo ferire in un universo a lei alieno , per immergervisi fino in fondo ; e la piazziamo , doverosamente , nell' assolata Grecia di agosto , per la precisione nell' isola di Symi , dove all' ombra di notte farà non meno di quarantacinque gradi e di giorno il sole picchia un tantinello ; la donna deve prendere possesso di un immobile di famiglia appena ereditato , ma non sa che sta per scoperchiare un autentico [SEP] vaso [SEP] di Pandora ; scheletri nell' armadi e ataviche colpe riemergono gli uni dopo le altre , e la donna si troverà improvvisamente a rovistare in un passato torbido che rischierà di sconvolgere la sua esistenza .
itwac	Il collo dei [SEP] vasi [SEP] era così sottile da impedire il passaggio di una mano e , a volte , erano più stretti di un dito .
itwac	Prima di usarle , occorre estrarle delicatamente dai [SEP] vasi [SEP] e metterle a bagno in una terrina con acqua fresca .
