word_one	word_two	avg_surprisals	avg_surprisals
gomma	sedia	11.903575897216797	11.903575897216797
gomma	pennello	14.519599914550781	14.519599914550781
gomma	topo	15.552897453308105	15.552897453308105
cavallo	gomma	11.18144416809082	11.18144416809082
gomma	leone	13.44149398803711	13.44149398803711
gomma	serpente	11.281757354736328	11.281757354736328
gomma	pastello	13.218393325805664	13.218393325805664
gomma	scimmia	14.310449600219727	14.310449600219727
cane	gomma	11.372584342956543	11.372584342956543
gomma	tigre	12.928791046142578	12.928791046142578
gomma	pettine	13.373342514038086	13.373342514038086
camicia	gomma	11.320186614990234	11.320186614990234
gabbiano	gomma	13.658280372619629	13.658280372619629
gomma	tenda	13.282510757446289	13.282510757446289
gomma	letto	11.68719482421875	11.68719482421875
gomma	passero	13.328187942504883	13.328187942504883
gomma	mucca	13.520369529724121	13.520369529724121
gomma	gufo	15.214599609375	15.214599609375
gomma	poltrona	14.036996841430664	14.036996841430664
elefante	gomma	15.378915786743164	15.378915786743164
gomma	scopa	12.937828063964844	12.937828063964844
gomma	quaderno	17.288053512573242	17.288053512573242
gomma	vaso	14.147472381591797	14.147472381591797
gomma	spada	11.836182594299316	11.836182594299316
gomma	orso	12.856352806091309	12.856352806091309
gomma	maiale	13.205949783325195	13.205949783325195
gatto	gomma	10.223036766052246	10.223036766052246
gomma	penna	11.431188583374023	11.431188583374023
armadio	gomma	13.140796661376953	13.140796661376953
coniglio	gomma	12.442605018615723	12.442605018615723
giacca	gomma	11.14603042602539	11.14603042602539
pennello	sedia	14.770557403564453	14.770557403564453
sedia	topo	15.729629516601562	15.729629516601562
cavallo	sedia	10.861425399780273	10.861425399780273
leone	sedia	12.620538711547852	12.620538711547852
sedia	serpente	11.554328918457031	11.554328918457031
pastello	sedia	13.503036499023438	13.503036499023438
scimmia	sedia	14.56271743774414	14.56271743774414
cane	sedia	11.768000602722168	11.768000602722168
sedia	tigre	13.78697681427002	13.78697681427002
pettine	sedia	15.010462760925293	15.010462760925293
camicia	sedia	10.66795825958252	10.66795825958252
gabbiano	sedia	14.4193115234375	14.4193115234375
sedia	tenda	15.760086059570312	15.760086059570312
letto	sedia	12.48225212097168	12.48225212097168
passero	sedia	16.07310676574707	16.07310676574707
mucca	sedia	15.041790008544922	15.041790008544922
gufo	sedia	14.504289627075195	14.504289627075195
poltrona	sedia	15.664637565612793	15.664637565612793
elefante	sedia	15.587808609008789	15.587808609008789
scopa	sedia	13.593875885009766	13.593875885009766
quaderno	sedia	18.117258071899414	18.117258071899414
sedia	vaso	14.1722412109375	14.1722412109375
sedia	spada	12.586406707763672	12.586406707763672
orso	sedia	13.1541748046875	13.1541748046875
maiale	sedia	13.516183853149414	13.516183853149414
gatto	sedia	10.602983474731445	10.602983474731445
penna	sedia	13.419502258300781	13.419502258300781
armadio	sedia	13.69175910949707	13.69175910949707
coniglio	sedia	13.386621475219727	13.386621475219727
giacca	sedia	12.15591812133789	12.15591812133789
pennello	topo	19.724952697753906	19.724952697753906
cavallo	pennello	15.980405807495117	15.980405807495117
leone	pennello	16.45856475830078	16.45856475830078
pennello	serpente	14.568008422851562	14.568008422851562
pastello	pennello	19.90609359741211	19.90609359741211
pennello	scimmia	18.27045440673828	18.27045440673828
cane	pennello	14.973907470703125	14.973907470703125
pennello	tigre	16.412460327148438	16.412460327148438
pennello	pettine	18.636882781982422	18.636882781982422
camicia	pennello	14.532662391662598	14.532662391662598
gabbiano	pennello	19.84328842163086	19.84328842163086
pennello	tenda	16.94717025756836	16.94717025756836
letto	pennello	16.97844123840332	16.97844123840332
passero	pennello	18.530109405517578	18.530109405517578
mucca	pennello	18.037334442138672	18.037334442138672
gufo	pennello	19.939617156982422	19.939617156982422
pennello	poltrona	17.34471893310547	17.34471893310547
elefante	pennello	19.944759368896484	19.944759368896484
pennello	scopa	17.538883209228516	17.538883209228516
pennello	quaderno	22.407320022583008	22.407320022583008
pennello	vaso	18.033428192138672	18.033428192138672
pennello	spada	16.408552169799805	16.408552169799805
orso	pennello	18.22216796875	18.22216796875
maiale	pennello	16.012319564819336	16.012319564819336
gatto	pennello	15.357084274291992	15.357084274291992
penna	pennello	16.451845169067383	16.451845169067383
armadio	pennello	18.489826202392578	18.489826202392578
coniglio	pennello	18.473983764648438	18.473983764648438
giacca	pennello	14.61242961883545	14.61242961883545
cavallo	topo	14.435410499572754	14.435410499572754
leone	topo	14.697092056274414	14.697092056274414
serpente	topo	11.13866901397705	11.13866901397705
pastello	topo	17.578712463378906	17.578712463378906
scimmia	topo	17.239696502685547	17.239696502685547
cane	topo	14.317009925842285	14.317009925842285
tigre	topo	17.478273391723633	17.478273391723633
pettine	topo	16.896390914916992	16.896390914916992
camicia	topo	13.659238815307617	13.659238815307617
gabbiano	topo	14.970235824584961	14.970235824584961
tenda	topo	16.991230010986328	16.991230010986328
letto	topo	13.222217559814453	13.222217559814453
passero	topo	15.294549942016602	15.294549942016602
mucca	topo	16.552852630615234	16.552852630615234
gufo	topo	15.855691909790039	15.855691909790039
poltrona	topo	16.613788604736328	16.613788604736328
elefante	topo	16.271896362304688	16.271896362304688
scopa	topo	16.690263748168945	16.690263748168945
quaderno	topo	20.727943420410156	20.727943420410156
topo	vaso	13.995549201965332	13.995549201965332
spada	topo	15.425209999084473	15.425209999084473
orso	topo	14.593269348144531	14.593269348144531
maiale	topo	14.573897361755371	14.573897361755371
